Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date
RS Bopara,4,0,16,6,4,Kings,v Qalandars,Sharjah,12-Feb-16
Faheem Ashraf,4,0,19,6,4.75,United,v Qalandars,Karachi,9-Mar-19
Umar Gul,4,0,24,6,6,Sultans,v Gladiators,Dubai (DSC),7-Mar-18
Shaheen Shah Afridi,3.4,1,4,5,1.09,Qalandars,v Sultans,Dubai (DSC),9-Mar-18
Shahid Afridi,4,1,7,5,1.75,Zalmi,v Gladiators,Sharjah,14-Feb-16
Mohammad Sami,4,0,8,5,2,United,v Kings,Dubai (DSC),20-Feb-16
SR Patel,4,1,5,4,1.25,Qalandars,v Gladiators,Lahore,7-Mar-20
Yasir Shah,4,0,7,4,1.75,Qalandars,v Zalmi,Dubai (DSC),12-Feb-17
S Lamichhane,4,0,10,4,2.5,Qalandars,v Gladiators,Dubai (DSC),27-Feb-19
Mohammad Nawaz,4,0,13,4,3.25,Gladiators,v United,Dubai (DSC),4-Feb-16
Sohail Tanvir,3.3,1,13,4,3.71,Sultans,v Zalmi,Multan,26-Feb-20
Zafar Gohar,3.2,0,14,4,4.2,Qalandars,v Gladiators,Dubai (DSC),8-Feb-16
GD Elliott,4,0,15,4,3.75,Gladiators,v Kings,Sharjah,13-Feb-16
Hasan Ali,4,0,15,4,3.75,Zalmi,v Qalandars,Dubai (DSC),17-Feb-19
Hasan Ali,4,0,15,4,3.75,Zalmi,v Kings,Sharjah,21-Feb-19
Usman Shinwari,4,0,15,4,3.75,Kings,v Sultans,Abu Dhabi,4-Mar-19
Rahat Ali,4,0,16,4,4,Gladiators,v Zalmi,Lahore,20-Mar-18
Usman Shinwari,4,0,17,4,4.25,Kings,v United,Sharjah,16-Mar-18
Hasan Ali,4,0,17,4,4.25,Zalmi,v Sultans,Sharjah,24-Feb-19
Faheem Ashraf,3,0,18,4,6,United,v Gladiators,Abu Dhabi,5-Mar-19
Shaheen Shah Afridi,4,0,18,4,4.5,Qalandars,v United,Lahore,23-Feb-20
Imran Khalid,3,0,20,4,6.66,United,v Zalmi,Dubai (DSC),21-Feb-16
Sohail Tanvir,4,1,21,4,5.25,Gladiators,v United,Dubai (DSC),17-Feb-19
GD Elliott,3,0,23,4,7.66,Qalandars,v United,Dubai (DSC),11-Feb-17
Umaid Asif,4,0,23,4,5.75,Zalmi,v United,Dubai (DSC),24-Feb-18
Haris Rauf,4,0,23,4,5.75,Qalandars,v Kings,Dubai (DSC),16-Feb-19
Dilbar Hussain,3,0,24,4,8,Qalandars,v Zalmi,Rawalpindi,28-Feb-20
Rumman Raees,4,0,25,4,6.25,United,v Kings,Sharjah,1-Mar-17
Mohammad Amir,4,0,25,4,6.25,Kings,v Sultans,Dubai (DSC),15-Feb-19
Mohammad Hasnain,4,0,25,4,6.25,Gladiators,v United,Karachi,20-Feb-20
L Gregory,3,0,25,4,8.33,Zalmi,v Qalandars,Rawalpindi,28-Feb-20
Mohammad Amir,4,0,25,4,6.25,Kings,v Zalmi,Rawalpindi,2-Mar-20
Amad Butt,4,0,27,4,6.75,United,v Sultans,Lahore,22-Feb-20
Rahat Ali,4,0,29,4,7.25,Qalandars,v United,Dubai (DSC),14-Feb-19
Salman Irshad,4,0,30,4,7.5,Qalandars,v Gladiators,Lahore,3-Mar-20
SR Patel,4,0,34,4,8.5,United,v Zalmi,Dubai (DSC),9-Mar-18
Mohammad Hasnain,3,0,34,4,11.33,Gladiators,v Zalmi,Rawalpindi,5-Mar-20
Ehsan Adil,4,0,39,4,9.75,Qalandars,v Gladiators,Dubai (DSC),16-Feb-16
SR Watson,4,0,44,4,11,United,v Zalmi,Dubai (DSC),9-Feb-17
